Date,Open,High,Low,Close,P/E,P/B,Div Yield %
03 Aug 2018,27471.95,27723.0,27448.15,27695.5,53.34,3.12,0.45
02 Aug 2018,27469.5,27487.9,27327.95,27355.95,52.69,3.08,0.45
01 Aug 2018,27684.8,27820.15,27477.9,27596.6,53.15,3.11,0.45
31 Jul 2018,27797.2,27839.2,27651.3,27764.15,53.47,3.13,0.45
30 Jul 2018,27767.65,27873.7,27607.95,27842.6,53.62,3.13,0.44
27 Jul 2018,27497.8,27661.05,27455.0,27634.4,53.22,3.11,0.45
26 Jul 2018,27054.7,27455.1,27045.05,27406.4,52.78,3.08,0.45
25 Jul 2018,26992.55,27074.0,26939.35,27031.3,52.06,3.04,0.46
24 Jul 2018,26984.15,27128.0,26868.15,26974.4,51.95,3.04,0.46
23 Jul 2018,26701.3,27040.1,26671.35,27008.15,52.02,3.04,0.46
20 Jul 2018,26764.4,26946.55,26718.6,26873.2,51.76,3.02,0.46
19 Jul 2018,26960.2,27025.45,26730.1,26789.65,51.60,3.02,0.46
18 Jul 2018,27107.35,27187.15,26834.45,26880.9,51.77,3.03,0.46
17 Jul 2018,26662.85,27041.35,26653.65,27008.1,52.02,3.04,0.46
16 Jul 2018,26914.5,26939.05,26643.95,26679.8,51.38,3.0,0.46
13 Jul 2018,27046.85,27102.35,26902.3,26935.95,51.88,3.03,0.46
12 Jul 2018,26937.5,27164.8,26936.05,27026.55,52.05,3.04,0.46
11 Jul 2018,26900.65,26938.85,26774.6,26816.2,51.65,3.02,0.46
10 Jul 2018,26844.55,26939.55,26778.5,26894.55,49.68,3.03,0.46
09 Jul 2018,26642.35,26781.2,26611.55,26753.3,49.41,3.01,0.46
06 Jul 2018,26427.55,26609.85,26410.0,26493.85,48.94,2.98,0.47
05 Jul 2018,26481.55,26598.45,26415.2,26503.3,50.52,2.98,0.47
04 Jul 2018,26249.25,26480.5,26132.9,26433.95,42.50,2.98,0.47
03 Jul 2018,26210.1,26316.1,26142.0,26204.1,42.13,2.95,0.47
02 Jul 2018,26364.45,26371.6,26060.6,26230.3,40.56,2.95,0.47
29 Jun 2018,26312.7,26465.0,26291.35,26364.2,40.77,2.97,0.47
28 Jun 2018,26398.1,26487.85,26161.0,26324.6,40.56,3.17,0.55
27 Jun 2018,26616.3,26634.3,26336.5,26423.4,40.71,3.18,0.55
26 Jun 2018,26495.65,26712.6,26479.65,26601.7,40.99,3.21,0.54
25 Jun 2018,26718.15,26804.9,26573.0,26609.7,34.72,3.21,0.54
22 Jun 2018,26518.4,26806.55,26364.25,26766.85,34.93,3.23,0.54
21 Jun 2018,26645.3,26682.95,26454.95,26496.95,34.57,3.19,0.55
20 Jun 2018,26320.45,26574.75,26309.95,26557.7,34.65,3.2,0.55
19 Jun 2018,26448.1,26448.1,26224.75,26265.75,34.27,3.16,0.55
18 Jun 2018,26444.3,26477.5,26322.45,26409.3,34.46,3.18,0.55
15 Jun 2018,26513.7,26586.4,26344.95,26417.4,34.47,3.18,0.55
14 Jun 2018,26612.3,26623.25,26503.1,26562.25,34.66,3.2,0.55
13 Jun 2018,26721.95,26765.45,26598.2,26642.8,34.76,3.21,0.54
12 Jun 2018,26566.6,26656.45,26449.85,26607.1,34.72,3.21,0.54
11 Jun 2018,26473.2,26653.0,26421.95,26453.55,34.52,3.19,0.55
08 Jun 2018,26457.25,26481.0,26284.2,26451.35,34.52,3.19,0.55
07 Jun 2018,26577.95,26766.95,26483.9,26517.8,34.60,3.2,0.55
06 Jun 2018,26266.9,26425.2,26147.8,26367.6,34.41,3.18,0.55
05 Jun 2018,26263.0,26342.4,26069.55,26251.0,34.25,3.16,0.55
04 Jun 2018,27023.7,27047.55,26205.9,26257.55,34.26,3.16,0.55
01 Jun 2018,26913.4,26996.8,26658.55,26692.8,34.83,3.22,0.54
31 May 2018,26587.0,27164.55,26354.55,26956.2,35.17,3.25,0.54
30 May 2018,26039.9,26405.45,25980.85,26327.8,34.43,3.2,0.55
29 May 2018,26567.25,26570.95,26221.1,26254.8,34.34,3.19,0.55
28 May 2018,26291.65,26713.65,26273.9,26614.25,34.81,3.23,0.54
25 May 2018,26066.75,26325.55,26031.45,26273.55,32.23,3.19,0.55
24 May 2018,25722.9,26073.1,25658.4,26016.8,31.92,3.16,0.56
23 May 2018,25726.95,25903.9,25622.15,25684.95,31.51,3.12,0.56
22 May 2018,25780.25,25945.65,25701.35,25777.7,31.62,3.13,0.56
21 May 2018,26017.5,26066.75,25685.35,25750.8,31.59,3.13,0.56
18 May 2018,26025.6,26032.0,25839.0,25875.6,31.74,3.14,0.56
17 May 2018,26233.2,26283.55,26012.0,26073.8,32.14,3.17,0.56
16 May 2018,26269.35,26428.35,26102.15,26182.15,32.27,3.18,0.55
15 May 2018,26494.9,26972.05,26407.3,26474.0,32.63,3.22,0.55
14 May 2018,26404.45,26565.4,26338.05,26475.15,32.63,3.22,0.55
11 May 2018,26173.7,26437.25,26099.85,26413.15,32.55,3.21,0.55
10 May 2018,26216.1,26266.4,26057.2,26131.0,32.21,3.17,0.55
09 May 2018,25988.1,26206.5,25946.3,26154.45,32.24,3.18,0.55
08 May 2018,26074.15,26116.25,25954.6,26090.5,32.16,3.17,0.56
07 May 2018,25676.25,25913.5,25675.15,25852.05,31.86,3.14,0.56
04 May 2018,25632.3,25680.4,25537.7,25645.4,31.61,3.11,0.57
03 May 2018,25547.9,25653.45,25469.05,25605.25,31.56,3.11,0.57
02 May 2018,25607.05,25716.75,25499.35,25568.3,31.51,3.11,0.57
30 Apr 2018,25490.15,25617.5,25464.8,25531.6,31.47,3.1,0.57
27 Apr 2018,25030.15,25441.5,25029.65,25394.6,31.3,3.08,0.57
26 Apr 2018,24833.2,25064.0,24753.4,25010.9,30.83,3.04,0.58
25 Apr 2018,24993.4,24993.4,24734.6,24814.4,30.58,3.01,0.58
24 Apr 2018,24972.2,25123.45,24955.0,25042.1,30.86,3.04,0.58
23 Apr 2018,25065.5,25084.15,24466.1,24960.65,30.76,3.03,0.58
20 Apr 2018,25126.8,25126.8,24839.3,24943.85,30.64,3.0,0.58
19 Apr 2018,25206.45,25207.3,25049.7,25126.15,30.86,3.02,0.58
18 Apr 2018,25426.75,25426.75,25058.75,25102.3,30.83,3.02,0.58
17 Apr 2018,25383.75,25402.55,25224.0,25334.45,31.12,3.05,0.57
16 Apr 2018,25082.1,25348.55,25067.35,25320.85,31.1,3.04,0.57
13 Apr 2018,25239.65,25411.3,25076.85,25200.6,30.96,3.03,0.58
12 Apr 2018,25076.9,25244.8,24969.4,25195.1,30.95,3.03,0.58
11 Apr 2018,25198.35,25207.05,24950.3,25098.25,30.83,3.02,0.58
10 Apr 2018,25153.6,25279.9,25120.2,25226.8,30.99,3.03,0.58
09 Apr 2018,24848.85,25152.85,24828.0,25093.8,30.82,3.02,0.58
06 Apr 2018,24776.35,24933.6,24626.4,24873.15,30.55,2.99,0.58
05 Apr 2018,24394.45,24824.9,24380.85,24759.8,30.41,2.98,0.59
04 Apr 2018,24502.5,24666.3,24087.8,24129.5,29.64,2.9,0.6
03 Apr 2018,24285.95,24538.0,24254.35,24510.6,30.11,2.95,0.59
02 Apr 2018,24235.65,24373.4,24062.95,24328.5,29.88,2.92,0.6
28 Mar 2018,24299.5,24361.0,24203.4,24263.35,29.59,2.84,0.6
27 Mar 2018,24396.4,24496.95,24266.4,24434.15,29.79,2.86,0.6
26 Mar 2018,23674.9,24290.65,23657.05,24244.35,29.56,2.84,0.6
23 Mar 2018,23785.65,23796.3,23605.6,23670.4,28.86,2.77,0.61
22 Mar 2018,24252.95,24314.4,24094.85,24141.5,29.44,2.83,0.6
21 Mar 2018,24331.3,24459.75,24208.65,24255.6,29.58,2.84,0.6
20 Mar 2018,24133.95,24355.65,24082.95,24168.2,29.47,2.83,0.6
19 Mar 2018,24530.15,24588.05,24186.95,24245.1,29.56,2.84,0.6
16 Mar 2018,24753.65,24785.35,24439.15,24489.55,29.81,2.87,0.59
15 Mar 2018,24854.3,24939.85,24732.0,24791.85,30.18,2.9,0.59
14 Mar 2018,24629.65,24894.3,24487.0,24851.65,30.25,2.91,0.59
13 Mar 2018,24624.6,25009.65,24597.55,24738.65,30.11,2.9,0.59
12 Mar 2018,24443.6,24716.05,24358.5,24664.2,30.02,2.89,0.59
09 Mar 2018,24556.95,24564.75,24259.7,24296.45,29.57,2.84,0.6
08 Mar 2018,24273.9,24534.5,24048.55,24477.65,29.79,2.87,0.59
07 Mar 2018,24333.85,24373.4,24096.75,24134.1,29.38,2.83,0.6
06 Mar 2018,24964.1,25040.25,24362.05,24448.45,29.76,2.86,0.39
05 Mar 2018,24831.35,24873.05,24682.0,24818.7,30.21,2.91,0.38
01 Mar 2018,25022.35,25226.05,24854.4,24902.55,30.31,2.92,0.38
28 Feb 2018,25116.25,25192.95,24942.0,25107.4,30.56,2.94,0.18
27 Feb 2018,25684.6,25723.55,25356.4,25383.6,30.9,2.97,0.18
26 Feb 2018,25452.0,25722.15,25381.2,25687.9,31.27,3.01,0.18
23 Feb 2018,25002.25,25345.15,24962.85,25302.5,30.8,2.96,0.18
22 Feb 2018,24812.7,24987.05,24781.7,24955.2,30.37,2.92,0.17
21 Feb 2018,24996.6,24999.7,24796.35,24936.7,28.66,2.92,0.17
20 Feb 2018,25105.55,25158.1,24829.0,24874.4,28.58,2.91,0.17
19 Feb 2018,25324.6,25326.05,24824.55,25058.55,28.8,2.93,0.17
16 Feb 2018,25511.95,25601.0,25100.9,25163.9,28.92,2.95,0.17
15 Feb 2018,25360.9,25615.15,25295.15,25424.35,28.63,2.98,0.17
14 Feb 2018,25810.25,25810.25,25212.35,25341.25,28.54,2.97,0.17
12 Feb 2018,25530.1,25757.85,25485.4,25701.6,28.94,3.01,0.17
09 Feb 2018,25466.3,25598.3,25371.0,25463.65,28.67,2.98,0.17
08 Feb 2018,25759.85,26126.4,25637.4,25920.65,29.2,3.04,0.17
07 Feb 2018,26065.4,26078.4,25558.05,25670.0,28.91,3.01,0.17
06 Feb 2018,25140.1,26140.6,25023.85,25811.3,29.07,3.02,0.17
05 Feb 2018,25968.15,26215.1,25917.55,26098.75,29.4,3.06,0.17
02 Feb 2018,27017.4,27017.55,26364.05,26451.15,29.79,3.1,0.16
01 Feb 2018,27334.85,27613.5,27046.35,27220.7,30.66,3.19,0.16
31 Jan 2018,27136.25,27455.75,27116.95,27379.45,30.84,3.21,0.16
30 Jan 2018,27466.85,27470.25,27242.05,27269.05,30.71,3.19,0.16
29 Jan 2018,27446.1,27652.05,27407.4,27498.45,30.97,3.22,0.16
25 Jan 2018,27414.1,27522.85,27151.75,27445.65,30.91,3.21,0.16
24 Jan 2018,27310.15,27479.25,27219.45,27398.55,30.93,3.21,0.16
23 Jan 2018,27089.95,27422.05,27066.15,27390.6,31.14,3.21,0.16
22 Jan 2018,26940.5,27074.9,26841.2,27041.2,31.22,3.17,0.16
19 Jan 2018,26615.65,26957.85,26433.55,26909.5,31.07,3.15,0.16
18 Jan 2018,26762.25,26887.65,26423.75,26537.4,30.68,3.11,0.16
17 Jan 2018,25946.15,26335.85,25922.3,26289.1,30.4,3.08,0.16
16 Jan 2018,26129.15,26136.4,25931.7,25974.9,30.03,3.04,0.17
15 Jan 2018,25858.15,26091.8,25842.95,26069.2,30.14,3.05,0.17
12 Jan 2018,25732.4,25775.15,25557.6,25749.05,29.69,2.99,0.18
11 Jan 2018,25628.2,25694.65,25532.25,25660.9,29.71,2.98,0.18
10 Jan 2018,25709.9,25717.6,25527.5,25617.3,29.66,2.98,0.18
09 Jan 2018,25727.95,25803.8,25617.25,25703.8,29.76,2.99,0.18
08 Jan 2018,25690.25,25771.5,25643.8,25676.1,29.73,2.98,0.18
